Mailing list            Year        #  
389-announce            2005        6
389-announce            2006        9
389-announce            2007        5
389-announce            2008        14
389-announce            2009        19
389-announce            2010        21
389-announce            2011        12
389-announce            2012        15
389-announce            2013        34
389-announce            2014        17
389-announce            2015        15
389-commits             2005        490
389-commits             2006        1071
389-commits             2007        1273
389-commits             2008        761
389-commits             2009        294
389-commits             2010        648
389-commits             2011        445
389-commits             2012        683
389-commits             2013        966
389-commits             2014        884
389-commits             2015        307
389-devel               2005        161
389-devel               2006        245
389-devel               2007        384
389-devel               2008        171
389-devel               2009        480
389-devel               2010        357
389-devel               2011        247
389-devel               2012        427
389-devel               2013        665
389-devel               2014        680
389-devel               2015        543
389-users               2005        1756
389-users               2006        2910
389-users               2007        2065
389-users               2008        2069
389-users               2009        1837
389-users               2010        1947
389-users               2011        1335
389-users               2012        1415
389-users               2013        1214
389-users               2014        1144
389-users               2015        639
ambassadors             2005        228
ambassadors             2006        2360
ambassadors             2007        2035
ambassadors             2008        4273
ambassadors             2009        4412
ambassadors             2010        3303
ambassadors             2011        2107
ambassadors             2012        1871
ambassadors             2013        1243
ambassadors             2014        1166
ambassadors             2015        977
announce                2003        32
announce                2004        506
announce                2005        1166
announce                2006        565
announce                2007        120
announce                2008        190
announce                2009        169
announce                2010        150
announce                2011        127
announce                2012        102
announce                2013        58
announce                2014        58
announce                2015        51
apac                    2015        73
argentina               2013        37
argentina               2014        378
argentina               2015        130
arm                     2007        70
arm                     2008        110
arm                     2009        248
arm                     2010        434
arm                     2011        1599
arm                     2012        2449
arm                     2013        2350
arm                     2014        1528
arm                     2015        1358
arm-builds              2011        26
arm-builds              2012        144453
arm-builds              2013        133649
arm-builds              2014        94276
arm-builds              2015        6484
astronomy               2007        67
astronomy               2008        120
astronomy               2009        20
astronomy               2010        14
astronomy               2011        8
astronomy               2012        10
astronomy               2013        83
astronomy               2014        20
astronomy               2015        23
badges                  2013        21
badges                  2014        392
badges                  2015        666
bangladesh-users        2008        54
bangladesh-users        2009        126
bangladesh-users        2010        280
bangladesh-users        2011        57
bangladesh-users        2012        23
bangladesh-users        2013        2
bangladesh-users        2014        1
bangladesh-users        2015        1
bigdata                 2013        277
bigdata                 2014        227
bigdata                 2015        78
brasil-marketing        2006        2502
brasil-marketing        2007        2556
brasil-marketing        2008        6190
brasil-marketing        2009        3539
brasil-marketing        2010        519
buildsys                2005        405
buildsys                2006        630
buildsys                2007        772
buildsys                2008        524
buildsys                2009        452
buildsys                2010        704
buildsys                2011        321
buildsys                2012        228
buildsys                2013        198
buildsys                2014        238
buildsys                2015        442
classroom               2009        121
classroom               2010        74
classroom               2011        57
classroom               2012        32
classroom               2013        16
classroom               2014        31
classroom               2015        2
cloud                   2010        482
cloud                   2011        637
cloud                   2012        1007
cloud                   2013        986
cloud                   2014        1694
cloud                   2015        1315
commops                 2015        173
council-discuss         2006        2257
council-discuss         2007        2068
council-discuss         2008        1956
council-discuss         2009        1506
council-discuss         2010        2427
council-discuss         2011        847
council-discuss         2012        837
council-discuss         2013        343
council-discuss         2014        875
council-discuss         2015        733
cwg                     2010        32
cwg                     2011        21
cwg                     2014        3
cwg                     2015        9
design-devel            2013        194
design-devel            2014        49
design-devel            2015        82
design-team             2009        1637
design-team             2010        2223
design-team             2011        1277
design-team             2012        913
design-team             2013        619
design-team             2014        345
design-team             2015        382
design-team-tickets     2009        266
design-team-tickets     2010        401
design-team-tickets     2011        331
design-team-tickets     2012        438
design-team-tickets     2013        329
design-team-tickets     2014        270
design-team-tickets     2015        1087
desktop                 2003        221
desktop                 2004        1146
desktop                 2005        516
desktop                 2006        330
desktop                 2007        1570
desktop                 2008        778
desktop                 2009        1192
desktop                 2010        949
desktop                 2011        763
desktop                 2012        223
desktop                 2013        898
desktop                 2014        2729
desktop                 2015        1737
de-users                2003        307
de-users                2004        3012
de-users                2005        1399
de-users                2006        587
de-users                2007        510
de-users                2008        95
de-users                2009        52
de-users                2010        55
de-users                2011        77
de-users                2012        114
de-users                2013        101
de-users                2014        64
de-users                2015        37
devassistant            2013        16
devassistant            2014        41
devassistant            2015        41
devel                   2002        1
devel                   2003        5401
devel                   2004        15862
devel                   2005        13444
devel                   2006        14405
devel                   2007        25595
devel                   2008        29386
devel                   2009        24391
devel                   2010        18660
devel                   2011        13118
devel                   2012        14951
devel                   2013        17511
devel                   2014        12606
devel                   2015        11257
devel-announce          2007        117
devel-announce          2008        218
devel-announce          2009        206
devel-announce          2010        197
devel-announce          2011        134
devel-announce          2012        136
devel-announce          2013        276
devel-announce          2014        198
devel-announce          2015        222
diversity-app           2015        11
env-and-stacks          2013        93
env-and-stacks          2014        547
env-and-stacks          2015        356
epel-package-announce   2009        1011
epel-package-announce   2010        1888
epel-package-announce   2011        3283
epel-package-announce   2012        3254
epel-package-announce   2013        3964
epel-package-announce   2014        5142
epel-package-announce   2015        5189
epel-users              2013        4
epel-users              2014        53
epel-users              2015        41
erlang                  2013        1003
erlang                  2014        1907
erlang                  2015        710
fama-mentors            2013        28
fama-mentors            2014        40
fama-mentors            2015        3
flock-attendees-2013    2013        142
flock-attendees-2014    2014        79
fonts                   2007        297
fonts                   2008        466
fonts                   2009        306
fonts                   2010        223
fonts                   2011        86
fonts                   2012        183
fonts                   2013        98
fonts                   2014        120
fonts                   2015        34
games                   2006        221
games                   2007        541
games                   2008        311
games                   2009        191
games                   2010        88
games                   2011        123
games                   2012        82
games                   2013        52
games                   2014        17
games                   2015        28
hu-users                2013        9
hu-users                2014        7
infrastructure          2006        893
infrastructure          2007        2481
infrastructure          2008        2378
infrastructure          2009        2416
infrastructure          2010        1611
infrastructure          2011        1431
infrastructure          2012        1234
infrastructure          2013        1386
infrastructure          2014        1541
infrastructure          2015        1226
irc-support-sig         2010        147
irc-support-sig         2011        370
irc-support-sig         2012        340
irc-support-sig         2013        245
irc-support-sig         2014        61
irc-support-sig         2015        78
isv-sig                 2008        125
isv-sig                 2009        7
isv-sig                 2010        11
kexec                   2013        295
kexec                   2014        1337
kexec                   2015        748
laptop                  2006        85
laptop                  2007        300
laptop                  2008        324
laptop                  2009        173
laptop                  2010        101
laptop                  2011        105
laptop                  2012        100
laptop                  2013        79
laptop                  2014        67
laptop                  2015        20
lxde                    2010        58
lxde                    2011        99
lxde                    2012        49
lxde                    2013        20
lxde                    2014        10
lxde                    2015        7
mips                    2010        74
mips                    2011        18
mips                    2012        2
mips                    2013        2
mips                    2014        3
mips                    2015        18
ml                      2013        504
olpc                    2008        635
olpc                    2009        1450
olpc                    2010        733
olpc                    2011        216
olpc                    2012        121
olpc                    2013        3
olpc                    2014        3
outreach                2014        1
outreach                2015        75
packaging               2005        629
packaging               2006        1630
packaging               2007        1776
packaging               2008        1424
packaging               2009        1316
packaging               2010        770
packaging               2011        506
packaging               2012        781
packaging               2013        1059
packaging               2014        513
packaging               2015        685
panama-community        2013        37
panama-community        2014        13
panama-community        2015        2
php-devel               2007        60
php-devel               2008        44
php-devel               2009        30
php-devel               2010        16
php-devel               2011        19
php-devel               2012        32
php-devel               2013        26
php-devel               2014        65
php-devel               2015        40
power-management        2011        43
power-management        2012        38
power-management        2013        38
power-management        2014        16
power-management        2015        5
remixes                 2010        2
remixes                 2011        78
remixes                 2012        60
remixes                 2013        15
remixes                 2014        1
remixes                 2015        5
ru-users                2013        38
ru-users                2014        20
s390x                   2008        1
s390x                   2009        92
s390x                   2010        25
s390x                   2011        61
s390x                   2012        346
s390x                   2013        405
s390x                   2014        509
s390x                   2015        323
summit-planning         2010        35
summit-planning         2011        12
summit-planning         2012        15
summit-planning         2013        12
trans                   2003        23
trans                   2004        1045
trans                   2005        280
trans                   2006        684
trans                   2007        1185
trans                   2008        1566
trans                   2009        2074
trans                   2010        1644
trans                   2011        1042
trans                   2012        924
trans                   2013        758
trans                   2014        595
trans                   2015        438
trans-bg                2007        86
trans-bg                2008        28
trans-bg                2009        1
trans-bg                2010        35
trans-bg                2011        7
trans-ia                2012        6
trans-ia                2013        10
trans-ia                2015        2
trans-id                2008        67
trans-id                2009        9
trans-id                2010        65
trans-id                2011        50
trans-id                2012        67
trans-id                2013        29
trans-id                2015        7
trans-ko                2003        38
trans-ko                2004        319
trans-ko                2005        18
trans-ko                2006        7
trans-ko                2008        2
trans-ko                2010        27
trans-ko                2011        2
trans-ko                2012        3
trans-ru                2007        1
trans-ru                2010        2
vn-community            2010        4
vn-community            2011        4
vn-community            2012        3
vn-community            2013        2
vn-community            2014        1
voip                    2013        5
websites                2005        276
websites                2006        316
wiki                    2008        47
wiki                    2009        155
wiki                    2010        92
wiki                    2011        11
wiki                    2012        7
wiki                    2013        9
women                   2006        35
women                   2007        4
women                   2008        7
women                   2009        1
women                   2010        7
women                   2011        3
women                   2012        4
women                   2013        11
women                   2014        7
women                   2015        3
women-outreach          2012        10
women-outreach          2013        24
women-outreach          2014        3
women-outreach          2015        31
xen                     2005        31
xen                     2006        1893
xen                     2007        1610
xen                     2008        818
xen                     2009        612
xen                     2010        310
xen                     2011        380
xen                     2012        292
xen                     2013        102
xen                     2014        56
xen                     2015        37
xfce                    2010        281
xfce                    2011        696
xfce                    2012        756
xfce                    2013        254
xfce                    2014        182
xfce                    2015        252
zarafa                  2010        26
zarafa                  2011        24
zarafa                  2012        11
zarafa                  2013        8
zarafa                  2014        12
zarafa                  2015        4
zarafa-announce         2010        10
zarafa-announce         2011        21
zarafa-announce         2012        10
zarafa-announce         2013        6
zarafa-announce         2014        12
zarafa-announce         2015        4
