Mailing list            Year        #
389-announce            2005        3
389-announce            2006        4
389-announce            2007        1
389-announce            2008        1
389-announce            2009        2
389-announce            2010        1
389-announce            2011        1
389-announce            2012        2
389-announce            2013        3
389-announce            2014        3
389-announce            2015        2
389-commits             2005        1
389-commits             2006        1
389-commits             2007        1
389-commits             2008        5
389-commits             2009        8
389-commits             2010        8
389-commits             2011        5
389-commits             2012        5
389-commits             2013        6
389-commits             2014        7
389-commits             2015        5
389-devel               2005        44
389-devel               2006        44
389-devel               2007        33
389-devel               2008        23
389-devel               2009        28
389-devel               2010        21
389-devel               2011        11
389-devel               2012        20
389-devel               2013        21
389-devel               2014        23
389-devel               2015        21
389-users               2005        223
389-users               2006        327
389-users               2007        331
389-users               2008        317
389-users               2009        236
389-users               2010        208
389-users               2011        190
389-users               2012        170
389-users               2013        162
389-users               2014        153
389-users               2015        115
ambassadors             2005        34
ambassadors             2006        172
ambassadors             2007        216
ambassadors             2008        421
ambassadors             2009        535
ambassadors             2010        341
ambassadors             2011        232
ambassadors             2012        204
ambassadors             2013        193
ambassadors             2014        182
ambassadors             2015        142
announce                2003        14
announce                2004        68
announce                2005        83
announce                2006        75
announce                2007        34
announce                2008        48
announce                2009        38
announce                2010        34
announce                2011        26
announce                2012        29
announce                2013        14
announce                2014        18
announce                2015        13
apac                    2015        3
argentina               2013        8
argentina               2014        22
argentina               2015        16
arm                     2007        16
arm                     2008        30
arm                     2009        54
arm                     2010        63
arm                     2011        116
arm                     2012        135
arm                     2013        146
arm                     2014        110
arm                     2015        101
arm-builds              2011        1
arm-builds              2012        2
arm-builds              2013        2
arm-builds              2014        1
arm-builds              2015        1
astronomy               2007        12
astronomy               2008        17
astronomy               2009        9
astronomy               2010        7
astronomy               2011        6
astronomy               2012        5
astronomy               2013        12
astronomy               2014        9
astronomy               2015        9
badges                  2013        7
badges                  2014        5
badges                  2015        5
bangladesh-users        2008        15
bangladesh-users        2009        26
bangladesh-users        2010        18
bangladesh-users        2011        14
bangladesh-users        2012        11
bangladesh-users        2013        1
bangladesh-users        2014        1
bangladesh-users        2015        1
bigdata                 2013        39
bigdata                 2014        25
bigdata                 2015        15
brasil-marketing        2006        36
brasil-marketing        2007        41
brasil-marketing        2008        62
brasil-marketing        2009        71
brasil-marketing        2010        28
buildsys                2005        35
buildsys                2006        58
buildsys                2007        85
buildsys                2008        74
buildsys                2009        73
buildsys                2010        83
