query is {'topic': 'org.fedoraproject.prod.meetbot.meeting.complete'}
0 months ago 99
1 months ago 108
2 months ago 115
3 months ago 104
4 months ago 111
5 months ago 125
6 months ago 131
7 months ago 89
8 months ago 52
9 months ago 80
10 months ago 64
11 months ago 122


query is {'topic': 'org.fedoraproject.prod.meetbot.meeting.item.help'}
0 months ago 0
1 months ago 1
2 months ago 7
3 months ago 5
4 months ago 8
5 months ago 11
6 months ago 6
7 months ago 0
8 months ago 0
9 months ago 0
10 months ago 0
11 months ago 0


query is {'topic': 'org.fedoraproject.prod.meetbot.meeting.item.link'}
0 months ago 443
1 months ago 479
2 months ago 385
3 months ago 349
4 months ago 400
5 months ago 578
6 months ago 499
7 months ago 37
8 months ago 0
9 months ago 0
10 months ago 0
11 months ago 0


query is {'topic': 'org.fedoraproject.prod.meetbot.meeting.start'}
0 months ago 97
1 months ago 104
2 months ago 113
3 months ago 105
4 months ago 109
5 months ago 123
6 months ago 127
7 months ago 88
8 months ago 49
9 months ago 79
10 months ago 62
11 months ago 120


query is {'topic': 'org.fedoraproject.prod.meetbot.meeting.topic.update'}
0 months ago 569
1 months ago 629
2 months ago 646
3 months ago 590
4 months ago 521
5 months ago 696
6 months ago 719
7 months ago 518
8 months ago 268
9 months ago 446
10 months ago 351
11 months ago 670

