query is {'topic': 'org.fedoraproject.prod.meetbot.meeting.complete'}
0 weeks ago 28
1 weeks ago 22
2 weeks ago 25
3 weeks ago 24
4 weeks ago 35
5 weeks ago 19
6 weeks ago 14
7 weeks ago 29
8 weeks ago 29
9 weeks ago 24
10 weeks ago 33
11 weeks ago 29
12 weeks ago 22
13 weeks ago 28
14 weeks ago 25
15 weeks ago 26
16 weeks ago 14
17 weeks ago 28
18 weeks ago 27
19 weeks ago 26
20 weeks ago 25
21 weeks ago 31
22 weeks ago 29
23 weeks ago 32
24 weeks ago 24
25 weeks ago 26
26 weeks ago 28
27 weeks ago 26
28 weeks ago 29
29 weeks ago 36
30 weeks ago 14
31 weeks ago 15
32 weeks ago 32
33 weeks ago 28
34 weeks ago 19
35 weeks ago 4
36 weeks ago 14
37 weeks ago 8
38 weeks ago 25
39 weeks ago 27
40 weeks ago 27
41 weeks ago 3
42 weeks ago 6
43 weeks ago 4
44 weeks ago 26
45 weeks ago 12
46 weeks ago 21
47 weeks ago 28
48 weeks ago 30
49 weeks ago 30
50 weeks ago 30
51 weeks ago 30


query is {'topic': 'org.fedoraproject.prod.meetbot.meeting.item.help'}
0 weeks ago 0
1 weeks ago 0
2 weeks ago 0
3 weeks ago 0
4 weeks ago 0
5 weeks ago 0
6 weeks ago 0
7 weeks ago 1
8 weeks ago 0
9 weeks ago 0
10 weeks ago 2
11 weeks ago 5
12 weeks ago 1
13 weeks ago 1
14 weeks ago 2
15 weeks ago 1
16 weeks ago 0
17 weeks ago 0
18 weeks ago 2
19 weeks ago 3
20 weeks ago 1
21 weeks ago 5
22 weeks ago 2
23 weeks ago 3
24 weeks ago 1
25 weeks ago 2
26 weeks ago 1
27 weeks ago 3
28 weeks ago 2
29 weeks ago 0
30 weeks ago 0
31 weeks ago 0
32 weeks ago 0
33 weeks ago 0
34 weeks ago 0
35 weeks ago 0
36 weeks ago 0
37 weeks ago 0
38 weeks ago 0
39 weeks ago 0
40 weeks ago 0
41 weeks ago 0
42 weeks ago 0
43 weeks ago 0
44 weeks ago 0
45 weeks ago 0
46 weeks ago 0
47 weeks ago 0
48 weeks ago 0
49 weeks ago 0
50 weeks ago 0
51 weeks ago 0


query is {'topic': 'org.fedoraproject.prod.meetbot.meeting.item.link'}
0 weeks ago 131
1 weeks ago 79
2 weeks ago 106
3 weeks ago 132
4 weeks ago 158
5 weeks ago 115
6 weeks ago 31
7 weeks ago 128
8 weeks ago 106
9 weeks ago 56
10 weeks ago 118
11 weeks ago 121
12 weeks ago 86
13 weeks ago 118
14 weeks ago 57
15 weeks ago 76
16 weeks ago 40
17 weeks ago 113
18 weeks ago 92
19 weeks ago 91
20 weeks ago 86
21 weeks ago 142
22 weeks ago 183
23 weeks ago 139
24 weeks ago 89
25 weeks ago 111
26 weeks ago 99
27 weeks ago 112
28 weeks ago 110
29 weeks ago 113
30 weeks ago 37
31 weeks ago 0
32 weeks ago 0
33 weeks ago 0
34 weeks ago 0
35 weeks ago 0
36 weeks ago 0
37 weeks ago 0
38 weeks ago 0
39 weeks ago 0
40 weeks ago 0
41 weeks ago 0
42 weeks ago 0
43 weeks ago 0
44 weeks ago 0
45 weeks ago 0
46 weeks ago 0
47 weeks ago 0
48 weeks ago 0
49 weeks ago 0
50 weeks ago 0
51 weeks ago 0


query is {'topic': 'org.fedoraproject.prod.meetbot.meeting.start'}
0 weeks ago 27
1 weeks ago 22
2 weeks ago 25
3 weeks ago 24
4 weeks ago 34
5 weeks ago 18
6 weeks ago 13
7 weeks ago 28
8 weeks ago 28
9 weeks ago 24
10 weeks ago 33
11 weeks ago 29
12 weeks ago 21
13 weeks ago 29
14 weeks ago 24
15 weeks ago 26
16 weeks ago 14
17 weeks ago 29
18 weeks ago 26
19 weeks ago 27
20 weeks ago 24
21 weeks ago 29
22 weeks ago 27
23 weeks ago 34
24 weeks ago 24
25 weeks ago 26
26 weeks ago 28
27 weeks ago 27
28 weeks ago 27
29 weeks ago 34
30 weeks ago 13
31 weeks ago 15
32 weeks ago 31
33 weeks ago 27
34 weeks ago 20
35 weeks ago 2
36 weeks ago 14
37 weeks ago 6
38 weeks ago 26
39 weeks ago 27
40 weeks ago 28
41 weeks ago 2
42 weeks ago 6
43 weeks ago 4
44 weeks ago 25
45 weeks ago 10
46 weeks ago 21
47 weeks ago 27
48 weeks ago 30
49 weeks ago 31
50 weeks ago 30
51 weeks ago 28


query is {'topic': 'org.fedoraproject.prod.meetbot.meeting.topic.update'}
0 weeks ago 156
1 weeks ago 115
2 weeks ago 156
3 weeks ago 140
4 weeks ago 199
5 weeks ago 140
6 weeks ago 69
7 weeks ago 158
8 weeks ago 184
9 weeks ago 124
10 weeks ago 202
11 weeks ago 150
12 weeks ago 115
13 weeks ago 186
14 weeks ago 115
15 weeks ago 134
16 weeks ago 82
17 weeks ago 143
18 weeks ago 118
19 weeks ago 131
20 weeks ago 113
21 weeks ago 168
22 weeks ago 158
23 weeks ago 179
24 weeks ago 139
25 weeks ago 161
26 weeks ago 150
27 weeks ago 171
28 weeks ago 161
29 weeks ago 161
30 weeks ago 51
31 weeks ago 92
32 weeks ago 218
33 weeks ago 151
34 weeks ago 95
35 weeks ago 29
36 weeks ago 69
37 weeks ago 45
38 weeks ago 144
39 weeks ago 142
40 weeks ago 160
41 weeks ago 19
42 weeks ago 22
43 weeks ago 22
44 weeks ago 132
45 weeks ago 59
46 weeks ago 130
47 weeks ago 155
48 weeks ago 162
49 weeks ago 164
50 weeks ago 167
51 weeks ago 186

